	GSM4705199	GSM4705200	GSM4705201	GSM4705202	GSM4705203	GSM4705204	GSM4705205	GSM4705206
FAM214A	319	164	119	184	216	136	120	89
ARAP2	124	82	76	91	86	56	47	42
TPR	780	669	614	726	1050	997	709	589
CP	392	301	162	172	130	109	511	386
KIAA0556	88	53	50	65	51	47	31	24
DTNBP1	67	44	37	40	58	53	44	45
XK	15	8	8	18	41	23	6	11
ANO2	17	6	22	10	6	5	4	7
C12orf4	119	146	121	145	184	161	116	114
SCML1	672	436	224	371	1106	1046	356	294
WWC3	120	83	47	58	62	88	83	71
ARHGAP6	1166	1018	491	600	809	689	866	864
FAM184B	63	45	40	49	43	51	17	18
MAP4	1504	1711	1067	1205	1178	1188	762	775
GOPC	265	193	153	201	197	168	160	161
ROS1	7	4	55	18	25	11	8	5
USP28	159	129	58	82	123	106	95	80
HDAC9	25	11	47	44	47	19	9	13
TSPAN17	182	106	93	120	116	88	72	94
NOP16	1418	890	753	1090	1829	1607	1117	1014
CC2D2A	115	97	79	86	104	77	53	51
RRM2B	429	311	321	427	349	340	382	374
ZNF800	217	171	161	179	199	169	111	110
TNFRSF17	0	0	0	1	2	1	0	3
SNX29	111	86	52	69	271	267	38	42
LMO3	34	16	25	14	21	19	18	9
MRPS10	643	418	317	441	631	585	458	369
GUCA1A	21	12	18	15	7	4	15	9
RSF1	861	658	505	609	548	531	487	540
VPS13D	209	224	128	160	285	251	113	132
CELF2	60	47	57	56	62	47	52	54
FAM120A	891	518	510	627	1116	931	609	658
R3HDM1	275	341	213	299	480	420	201	169
COL9A2	34	10	22	15	18	12	26	21
KITLG	61	39	41	66	45	27	12	19
ERCC8	203	186	66	119	181	180	163	107
ADAMTS6	29	22	28	18	23	9	23	22
H6PD	66	51	57	93	96	86	37	41
VAMP3	1151	901	758	1053	927	935	900	759
PER3	56	58	26	51	206	215	21	23
UTS2	9	6	6	3	35	37	3	8
TNFRSF9	14	6	5	7	4	6	8	12
EPN3	17	12	13	10	52	34	4	3
LTBP1	1076	975	729	921	282	218	1018	1164
RCN1	3367	2497	1871	2437	3865	3416	1896	1756
ELN	34	30	22	14	13	10	15	11
RFC2	177	132	148	186	166	125	176	133
ARID1B	384	381	265	366	350	316	221	256
CLPTM1L	139	77	82	132	271	285	142	106
NEDD4L	59	60	56	72	31	21	55	37
FOXP3	8	3	7	9	2	3	7	11
PPP1R3F	12	26	17	8	10	15	16	15
HEXB	942	579	410	657	1271	1094	578	430
PTCD2	99	93	68	81	122	109	75	55
NEXMIF	3	2	24	18	21	17	7	3
JKAMP	1637	879	633	766	1100	951	1190	1111
DKK3	304	167	112	169	809	715	253	283
ARHGEF5	91	66	72	90	86	88	94	107
NFE2L3	115	64	61	92	161	143	52	50
MCUR1	162	115	75	106	67	38	66	70
LIMA1	877	660	553	860	266	268	446	389
LETMD1	184	125	75	102	182	156	73	72
SLC4A8	53	34	50	36	68	47	44	54
LAMC3	47	25	16	19	9	6	14	11
PTGER3	21	7	21	8	13	8	7	9
TNIP3	3	2	18	5	8	4	0	2
MAPK9	126	111	112	125	83	72	103	122
COL23A1	19	11	9	18	6	12	34	36
BCAR1	159	125	95	132	99	67	64	74
FAM160A2	298	271	206	268	205	215	165	185
HERPUD1	876	690	547	765	659	588	859	777
HOMER3	45	31	27	45	22	22	20	23
RAD51	12	17	14	19	15	14	14	10
POLQ	23	8	45	15	14	24	28	15
PIK3CB	79	76	54	81	91	83	48	28
CYBA	121	69	47	68	42	49	53	63
THOC3	143	129	76	125	151	133	88	111
HEBP2	95	72	58	66	100	75	57	55
MPHOSPH9	144	97	101	135	183	138	68	62
PLEKHA5	480	466	186	250	909	800	343	274
PRSS8	16	10	6	3	4	2	1	3
SIKE1	421	287	266	300	465	323	347	304
RRP12	106	80	72	90	135	97	63	82
FNIP2	253	204	197	230	676	590	361	351
MSMO1	15055	11841	6084	9128	6484	6147	9023	7891
TTC17	597	447	352	500	699	597	345	379
ALX4	4	2	2	6	1	4	2	3
FSTL4	85	61	74	113	109	111	36	43
FOXN3	455	345	230	285	492	398	281	276
METTL24	2	3	2	1	3	3	1	2
AKR7A2	144	150	68	94	197	133	132	102
MRTO4	321	224	189	240	331	295	328	269
NNAT	12	19	19	16	6	9	12	10
USE1	423	196	183	242	311	293	307	266
MCF2L2	142	135	110	142	73	44	94	105
NRIP2	7	13	5	4	12	7	2	2
LAMA3	354	404	160	194	580	504	180	177
AP5M1	446	348	229	306	368	341	330	304
ANAPC4	456	296	157	198	287	253	185	109
KCNQ1	49	20	22	28	64	50	11	15
TRAPPC3	1005	812	447	569	1296	1286	775	686
THRAP3	1077	1063	781	978	1079	1071	631	629
PHPT1	2146	1075	1120	1231	1674	1442	1524	1367
ENTPD2	0	0	3	1	0	0	0	0
LY75	81	53	46	49	82	89	48	39
ARID4B	1088	738	538	768	807	823	831	644
OPN3	104	81	55	91	85	56	50	46
SDCCAG8	362	337	185	239	235	236	241	223
PTPRN	162	194	131	141	112	77	251	285
HHAT	54	48	41	44	58	51	36	36
KIF1B	1021	1001	582	696	558	523	361	363
FOXC1	8	6	0	3	1	2	2	3
TBC1D22A	172	153	97	155	173	178	154	142
SYNE2	428	280	332	426	252	199	172	132
PLEKHH1	525	386	333	483	447	347	679	603
ATP9A	85	60	49	67	48	37	44	38
SPO11	2	2	6	3	0	0	0	3
CBLN4	6	0	6	0	1	0	2	0
CHRDL2	22	6	2	14	9	9	13	7
FAM168A	254	232	224	307	396	373	340	356
RELT	35	17	27	30	36	32	44	49
GALC	1161	1269	592	901	1023	899	772	756
NOP58	1133	854	688	973	943	905	977	862
SZRD1	927	805	704	872	737	763	535	561
KCNH2	85	86	102	150	255	227	164	173
CUL1	473	385	324	419	649	677	487	462
FAM114A2	230	138	137	175	228	210	233	179
CYFIP2	210	191	166	184	177	177	132	142
TAB2	862	650	440	601	404	464	387	384
GINM1	834	626	363	533	669	559	411	358
EIF2AK2	723	715	302	404	549	451	302	334
USP36	174	142	139	157	190	161	148	143
KMT2C	738	638	378	522	552	381	373	403
MCOLN3	8	7	18	12	11	10	6	9
CCDC85A	21	19	28	41	96	57	28	36
PUM2	997	612	476	622	1001	916	481	433
MRPL43	504	379	289	365	481	438	394	331
ITIH4	27	15	9	12	4	8	10	8
ITIH1	11	2	0	7	0	2	1	1
HPF1	502	262	211	346	329	313	356	281
ZFR	3610	2756	1719	2316	2453	2124	2855	2475
ZNF280C	48	28	39	49	158	124	20	25
NPFFR2	4	0	2	7	6	5	3	1
PHF21B	13	16	7	6	3	5	2	5
TRAF1	19	16	7	20	19	10	8	6
RC3H2	427	322	187	231	294	307	172	190
IL17RB	38	12	2	24	14	11	31	39
TRAF3IP2	153	173	104	143	218	172	101	117
GYG2	65	35	15	25	45	34	29	16
DCBLD2	2735	1768	1180	1336	1576	1332	2418	2248
SERPINB3	2	1	21	5	9	5	0	2
SOAT1	659	463	387	462	489	477	504	468
PKP2	947	805	586	713	2469	2369	805	741
MSH4	2	4	11	8	7	3	2	2
F7	10	6	4	4	0	2	3	6
GDI2	1960	1215	1153	1536	1893	1651	1668	1398
PRDM1	54	46	27	18	7	4	66	77
ATG5	516	390	307	371	514	479	535	343
TMCC3	168	119	117	135	85	69	77	69
PITHD1	226	151	118	125	101	75	132	108
MTA3	298	201	164	282	310	237	200	184
USP13	446	328	308	317	1919	1677	497	469
ATP11B	369	245	198	275	341	325	276	282
LAMC2	10	4	9	26	4	3	4	5
CDK14	89	103	58	81	112	56	59	55
SEC61A1	1349	1335	1101	1504	1316	1159	1316	1384
PPP1R12A	1333	934	520	681	640	650	497	433
RASGRF1	17	19	5	6	3	0	5	11
CAMK2B	16	5	11	16	4	7	7	7
CROCC	48	24	12	31	15	12	10	11
POLR3E	197	127	106	148	142	135	96	104
ATP2B4	7969	8332	3536	4903	1140	947	2505	2734
ZC3H11A	2134	2079	1279	1771	1970	1866	1682	1440
RIOK2	180	110	105	188	162	177	146	101
YIPF1	480	260	232	378	496	477	400	323
NDC1	132	110	73	107	104	105	71	105
DGKG	42	40	17	24	31	39	21	23
FLYWCH1	43	16	48	49	35	37	57	80
UNKL	211	120	114	112	195	193	181	152
TBXAS1	20	16	18	30	24	7	8	12
PARP12	90	55	25	32	49	37	24	29
ALDH18A1	91	57	87	112	109	116	181	131
TARBP1	39	16	19	12	37	38	17	21
GATB	123	76	62	80	171	149	76	65
MXD1	721	392	230	347	269	303	458	338
CDK17	334	311	129	190	251	239	114	135
DNAJC25	79	45	43	70	71	52	71	88
SLC2A3	220	221	190	309	600	611	625	611
PSD	70	41	44	49	50	59	44	43
CTDP1	48	21	19	14	40	23	21	26
YBX3	1800	1426	905	1219	1244	1159	1423	1244
STYK1	53	50	19	14	21	14	17	13
WNK1	837	863	479	673	565	482	422	463
RPS17P5	2	2	2	0	2	2	0	0
CCAR1	1378	1098	735	960	1015	1011	960	931
OGFR	27	18	18	26	19	16	10	11
GNA15	5	6	1	4	3	2	1	4
CREB3L3	6	5	8	2	12	12	0	2
PIGV	50	30	35	29	75	80	44	33
PTPRU	24	12	4	9	3	4	4	6
SNRNP40	336	219	189	227	308	295	259	216
RIMBP2	5	2	6	9	4	2	2	8
COL11A1	29	39	70	49	39	38	30	27
QSER1	297	252	252	297	331	287	193	203
MPC1	867	398	289	389	413	452	464	422
ACAA1	173	91	113	170	370	291	118	107
BCAT1	7113	5136	3036	3513	3437	3062	3012	2952
HDAC7	123	79	63	86	162	164	69	85
LZTS1	11	6	5	11	1	4	1	4
PRDM6	24	11	20	14	27	26	18	11
WNT8A	1	2	3	7	2	3	3	1
SPAG4	85	48	40	69	207	210	220	158
NCKAP1	1309	739	554	666	920	833	556	556
MRPS35	725	617	415	552	987	866	741	654
GUCY1B1	21	32	28	35	34	25	12	18
SFSWAP	189	194	143	160	216	203	136	144
TNK2	12	8	3	11	6	15	7	4
MON2	397	312	262	377	424	345	242	215
CDH3	22	12	12	20	6	9	11	11
ARSF	6	4	7	6	2	5	4	3
GPBP1	1175	955	696	993	916	899	1080	794
DGAT2	26	10	17	15	11	9	10	18
ZNF112	70	83	55	48	82	69	24	36
CS	1268	1795	749	1096	1243	1014	788	827
LTK	25	10	5	7	9	5	7	4
MRPS24	1378	917	555	617	876	819	638	691
ELMO2	201	160	133	141	154	139	84	96
WAPL	400	318	273	375	366	336	235	235
VMP1	3668	2672	1614	2217	4212	4004	3251	2771
APPBP2	688	478	375	468	511	436	414	364
POLD1	39	18	22	26	16	20	17	12
SEZ6	18	3	5	7	3	0	1	4
EIF4B	1582	1218	1332	1523	1665	1493	1126	1028
SLC6A16	8	14	15	7	5	8	5	6
BICRA	38	35	23	32	14	14	8	11
SPHK2	71	49	37	59	76	45	19	30
RPL18	5520	3848	2985	4034	4530	4098	3904	3936
CA11	39	26	22	16	27	20	16	17
ISOC2	466	302	243	304	416	367	308	343
U2AF2	97	88	168	177	161	143	67	80
EPN1	109	80	57	111	81	62	38	62
MED29	376	345	243	310	494	403	307	265
AHRR	203	115	106	118	178	211	254	190
GSC2	0	2	0	0	2	0	0	0
ZNF275	788	1072	996	1356	1033	932	1325	1370
MTMR1	75	54	37	55	48	63	47	42
GPC1	661	387	472	619	394	364	393	383
ADCK1	24	21	20	15	25	26	13	10
HAGH	241	146	72	114	278	238	131	108
RNF4	655	815	446	636	994	939	515	525
CASP8	109	75	80	93	184	162	50	73
LIMCH1	42	32	51	56	48	22	16	22
INTS13	251	220	199	234	404	338	340	272
TM7SF3	582	401	215	254	611	459	237	278
DLX3	4	4	0	1	3	1	0	0
SPA17	78	53	32	75	107	77	41	47
TSPAN32	17	6	2	1	1	5	3	3
WISP2	240	180	168	153	58	37	88	86
DMRT3	1	1	0	0	0	1	0	0
ST3GAL6	122	87	97	101	98	91	104	113
ATP2C2	17	23	3	9	7	8	5	9
NGFR	4	1	2	1	0	1	2	6
CDON	24	14	28	23	19	14	13	25
TAF2	319	264	213	297	379	370	235	231
HIPK2	849	723	332	454	353	332	251	236
TNPO3	511	427	284	349	745	718	278	275
BORCS8-MEF2B	71	52	35	38	56	55	22	28
RFXANK	306	151	180	199	323	257	280	264
TMEM161A	39	25	50	31	58	38	19	27
LPAR2	21	21	17	16	7	7	10	8
CTSA	404	329	298	350	408	307	117	143
SUGP2	302	293	264	310	353	308	159	188
SLC12A2	746	481	379	476	752	650	374	367
SNX24	351	252	146	268	272	296	233	159
EYA2	12	4	3	2	3	2	1	2
CNN2	969	1185	1070	1394	787	692	721	781
ABCA7	56	26	26	32	29	16	13	17
SNCAIP	5	3	14	10	5	13	4	5
DDX20	102	90	61	134	113	116	75	49
BTBD1	160	124	89	159	240	215	109	108
FAR2	77	51	32	39	67	59	38	58
BCAS1	14	7	26	28	13	9	16	6
POU1F1	1	2	4	0	3	1	2	2
CHI3L2	6	3	7	6	7	1	3	3
SBNO2	38	24	23	45	92	53	22	23
PMS1	284	209	156	172	255	281	157	138
HMG20B	355	223	230	308	325	296	216	171
CALCRL	112	109	52	23	425	382	13	10
TAF11	808	616	588	767	985	910	492	492
ANKS1A	178	146	163	165	354	309	70	90
AP3D1	252	156	179	217	228	222	157	140
ZNF76	121	66	56	96	124	100	50	72
SLC9A3R2	10	0	1	2	11	5	3	1
NTHL1	18	16	16	24	37	36	31	26
UHRF1BP1	629	497	382	566	817	755	292	333
GNAI3	2836	2118	1694	2067	2365	2149	3067	2523
IPO5	860	706	734	893	1238	1181	1027	862
OAT	667	428	374	491	663	577	438	370
WDR3	202	176	142	215	340	319	206	182
PKN2	419	336	218	286	377	359	236	198
WDR18	66	53	34	42	65	52	26	42
TRAM2	479	470	347	531	888	792	290	293
NTN1	8	9	3	7	3	3	2	0
GLP2R	6	12	2	1	2	3	1	2
MCM10	10	1	7	2	7	5	3	2
DGKA	221	233	155	216	188	140	109	158
ERBB3	1018	382	387	538	427	327	598	557
ROPN1	2	0	3	2	3	2	0	3
ANKRD44	143	110	77	97	809	601	33	40
KARS	1029	912	496	680	1073	896	1001	842
ADAT1	65	65	67	78	123	111	70	65
PDIA5	707	506	603	711	1147	1047	1137	950
TBC1D22B	102	111	103	83	65	63	38	24
NDUFB4	1818	1064	820	1144	1865	1536	1478	1430
SPEN	220	179	144	272	208	188	113	122
MYLK	125	74	77	75	46	23	48	55
ZC3H15	1322	850	564	872	979	924	1183	943
MAP2K4	433	444	266	352	350	269	290	303
TMEM206	58	55	46	67	52	48	30	27
SNAP91	4	7	23	15	12	29	5	8
SLK	374	318	279	338	408	348	304	212
CYB5R4	291	185	178	232	310	269	272	203
COL17A1	49	16	8	18	4	6	14	7
GSTO2	17	12	15	6	19	11	11	21
SEC61A2	420	268	167	198	341	304	356	300
PRKCQ	15	16	18	18	19	11	15	16
TLE2	14	8	6	8	2	2	5	1
ASB1	145	85	73	69	67	52	64	59
FAM107B	1066	761	330	448	748	621	490	505
ME1	491	463	254	349	277	249	245	248
TBC1D1	129	106	90	119	89	91	96	83
CDK13	465	334	292	413	352	303	215	239
MTHFD2	1496	1212	555	666	584	500	615	599
SLC9A7	147	126	38	98	52	63	43	74
FOXJ2	120	134	101	113	128	89	27	39
YBX1	3277	2054	1904	2372	2645	2213	2801	2670
PDE4A	25	32	11	17	9	10	4	5
PPP2R5A	206	163	115	140	162	162	105	110
CTNNA2	15	17	44	26	32	31	17	22
ELAVL1	218	232	130	220	155	179	154	120
TIE1	35	8	5	7	0	4	3	0
DIP2B	246	253	166	182	187	125	97	109
SMARCD1	330	314	179	306	293	212	168	202
KDM4A	194	208	147	194	313	277	86	107
NFYC	320	307	253	347	334	277	300	274
ZMYND12	19	13	16	10	22	19	14	5
SLC9A3	59	42	31	43	49	33	33	23
NGEF	13	7	5	8	2	8	7	8
ASPM	77	52	92	70	72	43	86	59
CD84	10	17	22	8	3	5	5	4
ELOVL1	1043	1420	616	896	916	712	588	619
SPI1	12	12	6	2	1	0	4	5
ZNRD1	17	17	6	4	2	8	3	5
MPPED2	20	10	37	29	20	9	20	20
CLDN18	6	9	7	12	3	1	3	3
ZBTB11	244	160	192	244	261	206	139	161
ATXN3	324	251	169	224	253	211	197	167
GOLGA5	593	389	273	340	509	497	478	384
FGFR2	13	8	10	8	6	4	3	8
LRRC40	351	244	153	236	234	247	254	205
ISOC1	281	190	196	283	208	197	181	154
EML1	30	26	25	20	10	5	7	16
TRMT11	218	157	141	157	178	175	116	108
THUMPD1	1434	921	461	772	564	514	532	605
MSANTD3	142	105	81	93	54	32	101	99
KIF26A	22	8	9	9	0	0	4	18
ATG2B	278	225	125	218	253	245	115	106
ARFGEF1	462	413	255	375	408	407	243	254
ACSM2B	6	13	38	3	33	15	8	2
ZFAT	32	24	13	35	27	25	12	24
MTFR1	194	162	141	175	172	161	101	73
STAG3	89	79	45	58	47	31	20	29
FECH	178	118	72	119	207	166	73	70
MYO9A	384	352	305	315	575	508	282	309
DDX3Y	0	0	0	0	0	0	0	0
PFKP	688	578	560	756	1387	1208	834	845
IDI1	13722	10774	6249	8126	3927	3764	14982	12337
SP100	801	599	258	344	911	744	452	386
KLF6	4560	2985	2049	2796	4599	4415	3424	3241
PLPP1	386	311	174	204	232	208	165	170
NEO1	116	78	54	80	160	115	59	48
TRAM1	1995	1631	1177	1634	1448	1258	1798	1392
PHKA1	134	86	73	114	68	47	103	120
TNFRSF1A	384	293	440	584	482	435	330	398
CACNB1	58	53	34	78	27	21	20	25
EVI5	509	472	293	370	468	432	442	405
STOML1	32	22	19	22	33	27	19	33
PKM	2124	1835	1743	2321	1913	1750	1631	1825
DHX29	469	243	226	296	318	241	255	214
DNTTIP2	681	609	489	633	627	601	1014	821
METTL22	199	183	89	102	129	103	120	130
TP53BP1	602	545	444	523	548	507	320	366
TRO	249	364	138	163	184	107	140	174
RRP15	294	140	94	162	193	167	204	188
RHOA	6354	5855	3748	5198	6536	5730	4699	4226
DHX8	211	206	143	206	205	194	114	115
PMS2P4	152	110	90	145	101	88	117	96
PRKCZ	81	75	36	57	86	56	58	60
ZFY	0	0	0	0	0	0	0	0
IARS2	404	325	286	378	677	618	432	357
SYT1	49	36	38	20	12	10	33	39
NAV3	36	45	76	65	58	45	28	25
IDH3G	447	290	278	323	480	426	332	330
ROGDI	37	26	13	27	23	14	12	13
PDZD4	10	6	8	10	2	1	2	5
ATP2B3	14	5	4	9	0	2	4	2
ROCK1	786	593	341	461	507	529	408	355
CBFB	1133	762	624	862	1722	1445	1355	1148
PDK3	550	419	176	315	103	143	480	479
HYAL2	152	135	86	69	146	117	52	61
HDAC4	117	81	67	78	151	128	67	66
RASSF1	225	100	131	151	105	124	99	68
FGFR3	11	4	4	9	1	1	1	0
IFI35	429	293	235	264	431	369	569	567
HEATR6	168	182	100	135	151	111	82	109
COASY	115	109	87	122	192	162	98	109
PLEKHH3	27	9	14	25	25	15	2	14
MEF2A	710	489	302	458	597	564	285	321
OTUD5	188	195	131	230	242	212	133	131
TFE3	434	497	281	401	675	537	211	209
TBC1D25	187	248	119	167	125	114	116	110
ACSL4	3875	2952	2384	2956	4648	4200	2974	2827
INPP5A	52	30	39	43	57	46	47	44
GPKOW	176	151	108	159	186	139	110	90
GRIPAP1	200	209	249	269	431	414	228	200
FTSJ1	465	459	247	347	509	502	646	562
PRR11	43	21	28	31	31	16	15	29
REEP1	107	97	34	45	28	16	35	33
ATP11A	432	314	165	234	290	226	117	147
POLR1A	161	151	105	135	120	137	86	99
LAPTM4A	9918	5286	4534	6424	7513	7646	8093	6664
TTC7A	51	43	23	24	56	52	9	18
IP6K2	1609	985	577	637	878	693	770	676
STON1-GTF2A1L	140	151	43	90	28	25	58	75
SRBD1	87	71	80	90	117	98	88	75
KIF2A	268	297	185	237	215	214	216	193
RASGRP2	31	24	21	23	10	6	15	15
PSME4	1713	1407	930	1325	409	393	1704	1611
IFT80	410	328	267	314	310	222	235	199
SIRT2	353	276	235	269	436	389	223	290
ERLEC1	868	611	394	539	691	671	818	737
PPP2R5B	87	56	62	68	41	39	47	74
PYGM	26	5	5	4	6	3	5	1
PAGE1	5	0	2	0	2	1	0	1
PITX1	2	1	1	0	0	0	1	1
TRPC7	6	0	4	3	4	0	2	1
MAST4	280	203	168	235	216	218	168	183
ADGRF5	5	6	19	12	18	10	3	11
SDK2	55	48	32	39	26	22	28	21
ADAM7	4	4	35	21	22	17	7	8
NUP133	250	182	149	207	216	197	183	158
NUCKS1	1969	1301	1090	1466	1051	1024	1142	1085
VPS35	1696	1268	929	1260	1354	1227	1594	1389
DNAJA2	1311	1068	912	1066	2951	2736	1247	1150
BCL3	29	27	22	38	116	105	58	59
KCNAB2	33	21	14	24	24	19	13	13
ABCC9	36	27	59	58	39	24	36	36
GAL	765	365	110	136	43	41	151	197
CLEC2D	67	30	71	62	54	48	44	30
FUNDC1	533	255	216	265	316	312	487	388
MAOB	213	115	139	161	24	27	66	61
RORA	572	485	309	401	575	499	528	510
DRD4	1	0	1	3	0	2	0	2
TGFBR3	1267	1010	792	1018	688	635	1752	1765
PLA2G10	2	2	4	9	3	5	2	4
HES2	16	7	1	3	2	3	0	5
ATP1B3	1699	1440	898	1200	1419	1324	1813	1679
NEDD4	570	375	227	223	270	270	377	338
PIGB	258	191	135	169	161	159	220	183
MAPK6	604	451	502	631	459	428	463	395
GNB5	149	121	100	108	76	64	65	63
RAB27A	530	396	259	336	380	338	437	375
HDHD5	118	66	49	85	103	66	106	108
UFD1	767	405	301	382	466	421	487	457
LRP6	427	403	162	162	174	171	101	104
GUCY2C	5	5	21	19	26	18	4	7
SCT	2	0	0	7	5	3	3	4
PHRF1	114	147	100	137	233	231	77	65
ELP1	772	725	295	382	427	447	265	265
NUCB2	965	590	583	760	1145	1059	1137	983
PFN2	389	330	235	290	330	282	324	280
PTPN3	24	22	16	10	34	34	17	14
SPTB	28	17	3	5	1	3	5	11
DAPP1	5	1	17	2	5	6	5	9
FGF10	5	9	19	10	17	10	24	30
SLC44A1	231	189	143	150	199	149	251	213
TMEM260	254	239	134	206	173	150	196	147
SMG6	92	86	83	108	86	78	42	52
EXOC5	651	632	462	571	572	502	591	518
CLTCL1	40	33	24	34	65	62	20	25
FGF22	3	0	2	0	2	0	0	0
FSTL3	665	742	423	575	366	273	754	814
DGCR2	62	57	53	51	104	69	36	39
RNF126	134	100	53	115	114	71	153	146
MNT	62	60	58	82	66	27	48	31
ZXDC	85	63	76	58	74	79	43	57
JMJD6	486	301	537	713	711	646	1217	1064
POLB	213	89	89	147	169	150	145	120
ST6GALNAC1	11	3	8	10	4	4	6	2
WIPI1	710	610	254	380	159	164	367	356
FRMPD1	3	2	4	0	3	5	0	3
GBA2	271	241	184	271	316	258	154	159
NDST1	144	225	104	174	132	131	48	57
ASNS	483	320	141	193	140	106	218	160
AP3M2	129	120	85	97	67	78	32	38
CNGB1	20	14	8	7	2	2	6	6
ST6GALNAC2	106	72	64	55	34	37	26	41
CHAT	16	2	2	2	1	1	0	1
PABPC1	4122	3221	2935	3883	3526	3093	2138	2023
TESK2	42	17	16	14	14	10	11	7
CFAP20	482	249	310	423	824	754	451	460
CSNK2A2	488	313	201	266	384	322	210	172
PTPN21	346	505	207	303	368	344	183	229
EIF2B3	187	158	135	169	275	247	236	183
CAMK2A	6	3	7	1	0	1	1	2
TCOF1	100	83	94	114	134	112	43	71
CDC42	8857	5826	4678	5595	7004	6038	6874	6456
OSBPL3	9	17	13	14	16	11	11	11
EPHA8	15	4	1	2	1	3	0	0
SLC12A3	19	11	6	10	0	5	4	9
RAD18	176	153	85	192	538	517	76	93
ATP2B1	1221	961	749	885	1136	1156	852	736
TRPM5	7	4	0	5	2	2	0	2
NCK2	112	79	49	56	93	60	40	61
MAP4K4	789	624	731	887	2052	1754	933	876
MGAT4A	513	362	182	223	482	429	93	86
RPL31	9681	6689	4921	6486	7640	6601	6313	6766
WDR1	2446	2357	2010	2716	1402	1214	1847	1785
SNX13	448	326	247	324	507	409	309	286
MS4A12	2	0	2	4	4	1	0	0
ARHGAP10	207	176	89	126	65	61	138	118
RPS6KA2	92	72	35	38	74	70	69	69
ING3	707	366	231	241	233	229	295	262
VASH1	141	76	73	92	144	92	96	82
LMCD1	1709	1443	774	977	1191	1197	1072	1112
BUD23	577	521	374	426	739	669	443	371
SEL1L	698	484	422	607	603	509	578	560
TRIP13	73	73	45	57	42	37	79	78
ATP6AP1	2241	2189	913	1400	2115	1839	1615	1506
TCF3	97	85	88	150	108	96	38	42
TRIB2	783	753	493	573	1024	911	514	460
DAZAP1	125	136	129	166	149	144	104	105
MBD3	180	91	107	102	110	113	76	90
PRLH	0	0	0	0	0	0	0	0
HLTF	789	618	389	467	653	588	564	510
FAM50A	248	240	130	199	193	161	194	187
FAM3A	99	56	52	69	148	136	46	66
CPSF1	54	54	78	81	80	68	43	40
MYO3B	7	8	27	12	23	6	5	1
CYBRD1	67	55	52	24	41	47	53	28
CDH19	55	28	26	32	19	22	139	120
PDCD2	341	279	188	190	234	140	162	166
SLC6A15	5	2	13	19	15	4	6	7
RDH11	2061	1565	926	1229	1268	1320	1415	1388
PRKACA	109	92	85	118	127	83	54	63
ADGRL1	67	47	40	42	44	30	22	42
SPP2	4	1	3	4	3	4	3	6
ACTN1	281	244	306	332	142	120	195	230
ZFYVE26	120	106	70	85	82	71	38	45
RPS6KA6	157	110	78	107	60	62	60	64
EPN2	85	63	67	96	115	86	87	69
PTPN18	66	60	44	41	74	55	16	25
LIMS2	175	210	129	180	45	32	100	149
ASIC4	9	1	2	0	4	2	2	7
SPEG	46	19	9	13	4	3	15	11
LNX1	106	115	76	81	114	88	87	88
ALDH3A2	3493	2875	1478	1923	4101	3578	4286	3662
TFRC	1051	674	479	553	996	937	1207	1115
SREBF1	87	40	64	97	127	98	91	70
TRPC5	3	3	14	9	8	4	5	1
AFF4	2434	1888	1417	1841	1055	862	1280	1263
UBE2D1	1017	670	347	413	451	320	357	321
MPP5	382	281	209	206	449	367	282	281
RHOBTB1	218	190	140	203	546	507	130	115
ASAH2C	0	0	6	0	6	3	1	0
SMC1A	217	236	204	272	346	313	204	217
HSD17B10	1256	690	542	696	1472	1467	1238	996
MARK2	60	79	51	39	57	41	33	42
HMMR	27	19	19	22	18	18	26	15
CHFR	215	177	142	217	202	209	129	144
TRHDE	14	4	39	26	48	25	11	8
P4HA2	660	597	621	703	583	509	1543	1416
FCGR2B	9	6	3	5	1	1	0	3
NFATC3	189	190	134	190	156	103	80	90
TRNT1	573	277	207	255	428	395	316	239
ACADVL	894	537	678	871	1067	779	474	523
STK10	72	68	58	63	37	36	36	51
FBXW11	936	1168	424	630	1340	1121	568	641
ACAP1	37	10	14	19	9	19	23	24
CRMP1	60	48	10	19	47	51	12	20
EVC	47	47	22	15	39	24	11	12
DERL2	1215	756	539	698	805	825	934	723
SIDT1	7	4	8	10	5	6	4	1
NDE1	112	156	72	97	49	53	42	32
MRVI1	19	10	8	5	6	12	6	4
TMEM38A	25	17	12	15	20	21	20	18
AP1M1	372	404	262	338	328	274	217	216
PVR	93	63	78	125	94	94	69	79
XRCC1	38	54	52	37	93	78	46	45
SCARB1	7869	11341	3382	5196	7633	5998	8560	9279
CYP2W1	6	0	0	0	9	3	1	0
MCM2	27	12	10	16	10	11	11	23
MOV10L1	35	14	10	18	6	12	9	9
PANX2	9	0	2	8	2	2	0	5
SELENOO	50	15	26	29	36	30	17	13
TP63	6	6	24	14	8	12	6	10
ALPK1	121	136	129	170	256	182	87	75
LLGL2	36	22	14	13	20	11	10	16
PDE8A	204	204	106	171	697	592	231	246
CLCN4	58	40	19	28	21	25	25	21
NLE1	27	33	15	30	23	34	9	15
SDHA	307	196	214	273	405	344	235	255
SMARCE1	1415	944	656	781	1184	925	1124	932
FNDC8	3	2	1	7	0	2	3	3
GSDMB	47	30	28	36	17	7	14	18
KDM5A	698	615	466	616	854	719	566	554
