ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0031650	regulation of heat generation	3/267	12/18614	0.000583337595337744	0.00546464897953432	0.00381765838872109	EDNRB/PTGS2/IL1B	3
BP	GO:0034154	toll-like receptor 7 signaling pathway	3/267	12/18614	0.000583337595337744	0.00546464897953432	0.00381765838872109	PIK3AP1/SCIMP/HAVCR2	3
BP	GO:0070943	neutrophil-mediated killing of symbiont cell	3/267	12/18614	0.000583337595337744	0.00546464897953432	0.00381765838872109	TREM1/CXCL6/NLRP6	3
BP	GO:0051100	negative regulation of binding	9/267	163/18614	0.000588964546237148	0.00550377213897473	0.0038449902188881	NFKBIA/CARD16/HEY1/LEF1/SORL1/NOG/TMC8/LRRK2/IL10	9
BP	GO:0036230	granulocyte activation	5/267	48/18614	0.000605114288891242	0.00564079511561025	0.00394071583972106	IL18/CXCL6/CCR2/PTAFR/ITGB2	5
BP	GO:0002244	hematopoietic progenitor cell differentiation	8/267	132/18614	0.000642429389405339	0.0059359188348655	0.00414689221934671	ESCO2/ZFP36/KIT/HES1/OSM/PTPRC/PLEK/GATA3	8
BP	GO:0001959	regulation of cytokine-mediated signaling pathway	9/267	165/18614	0.000643021232908311	0.0059359188348655	0.00414689221934671	IL6/TNFAIP3/CXCR4/CARD16/IL1R2/WNT5A/PTPRC/NLRP6/CASP1	9
BP	GO:1901342	regulation of vasculature development	14/267	355/18614	0.000644419728389175	0.0059359188348655	0.00414689221934671	IL6/TNFAIP3/SERPINE1/CXCR4/WNT5A/IL1B/PF4/CYBB/CCR2/TMIGD2/C5AR1/CCL24/C3AR1/IL10	14
BP	GO:0051873	killing by host of symbiont cells	4/267	28/18614	0.000646160906378348	0.0059359188348655	0.00414689221934671	TREM1/CXCL6/PF4/NLRP6	4
BP	GO:0070269	pyroptosis	4/267	28/18614	0.000646160906378348	0.0059359188348655	0.00414689221934671	GZMB/NLRP3/NLRP6/CASP1	4
BP	GO:0071624	positive regulation of granulocyte chemotaxis	4/267	28/18614	0.000646160906378348	0.0059359188348655	0.00414689221934671	RIPOR2/C5AR1/RAC2/C3AR1	4
BP	GO:0071470	cellular response to osmotic stress	5/267	49/18614	0.000666077069355345	0.00610409758728063	0.00426438357649825	CLN3/PTGS2/NLRP3/CASP1/RCSD1	5
BP	GO:0045123	cellular extravasation	6/267	74/18614	0.000674577811703503	0.00615818590225403	0.00430217021387666	SELL/CCL2/PIK3CG/RIPOR2/CCR2/PTAFR	6
BP	GO:0030168	platelet activation	8/267	133/18614	0.000675225444211301	0.00615818590225403	0.00430217021387666	IL6/THBD/TUBB1/PLCG2/PF4/LCK/PIK3CG/PLEK	8
BP	GO:0019233	sensory perception of pain	7/267	103/18614	0.000709317637891163	0.00645359980373878	0.00450854931770781	CXCR4/EDNRB/PTGS2/CCL2/CCR2/PTAFR/IL10	7
BP	GO:0051250	negative regulation of lymphocyte activation	9/267	168/18614	0.000731657126317386	0.00664092616566546	0.00463941738621802	TNFAIP3/ID2/RASSF5/SOCS1/RIPOR2/TNFAIP8L2/HAVCR2/FGR/IL10	9
BP	GO:0001562	response to protozoan	4/267	29/18614	0.000741163289890045	0.00668243176307393	0.0046684136113587	IER3/PF4/CLEC7A/IL10	4
BP	GO:0090025	regulation of monocyte chemotaxis	4/267	29/18614	0.000741163289890045	0.00668243176307393	0.0046684136113587	SERPINE1/CCR1/CCR2/FPR2	4
BP	GO:0032621	interleukin-18 production	3/267	13/18614	0.00075032048789391	0.00668243176307393	0.0046684136113587	TLR2/NLRP12/IL10	3
BP	GO:0032661	regulation of interleukin-18 production	3/267	13/18614	0.00075032048789391	0.00668243176307393	0.0046684136113587	TLR2/NLRP12/IL10	3
BP	GO:0035745	T-helper 2 cell cytokine production	3/267	13/18614	0.00075032048789391	0.00668243176307393	0.0046684136113587	IL6/NLRP3/GATA3	3
BP	GO:0045741	positive regulation of epidermal growth factor-activated receptor activity	3/267	13/18614	0.00075032048789391	0.00668243176307393	0.0046684136113587	TGFA/HBEGF/NCF1	3
BP	GO:0051918	negative regulation of fibrinolysis	3/267	13/18614	0.00075032048789391	0.00668243176307393	0.0046684136113587	SERPINE1/THBD/PLAU	3
BP	GO:2000551	regulation of T-helper 2 cell cytokine production	3/267	13/18614	0.00075032048789391	0.00668243176307393	0.0046684136113587	IL6/NLRP3/GATA3	3
BP	GO:1903036	positive regulation of response to wounding	6/267	76/18614	0.000777355497792638	0.00690699475087885	0.0048252955588361	SERPINE1/CXCR4/HBEGF/THBD/CLEC7A/PLAU	6
BP	GO:0045058	T cell selection	5/267	51/18614	0.00080165372056585	0.00708968348677584	0.00495292373545531	IL6/CD1D/CD3D/PTPRC/GATA3	5
BP	GO:1904707	positive regulation of vascular associated smooth muscle cell proliferation	5/267	51/18614	0.00080165372056585	0.00708968348677584	0.00495292373545531	MMP9/NR4A3/MMP2/CALCRL/IL10	5
BP	GO:0002825	regulation of T-helper 1 type immune response	4/267	30/18614	0.000845627966635845	0.00746119187306139	0.00521246320682756	IL18/IL1B/CCR2/HAVCR2	4
BP	GO:0008360	regulation of cell shape	8/267	138/18614	0.000860063413846924	0.00757095264996573	0.00528914318248029	CCL2/HCK/KIT/VIL1/CCL24/ITGB2/FGR/ARHGAP15	8
BP	GO:0060324	face development	5/267	52/18614	0.000876680066890475	0.00769936151338533	0.00537885089773445	ALDH1A3/LEF1/WNT5A/NOG/MMP2	5
BP	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	6/267	78/18614	0.000891824533008358	0.00781427777883074	0.00545913254920395	MMP9/CD27/CARD16/PTGS2/NR4A1/VIL1	6
BP	GO:0034341	response to type II interferon	8/267	139/18614	0.000901490102437463	0.00788076831485653	0.00550558350215264	TLR2/CCL20/WAS/WNT5A/CCL2/HCK/CASP1/CCL24	8
BP	GO:0071695	anatomical structure maturation	11/267	247/18614	0.000915650367988906	0.00798615516356301	0.00557920780785497	NR4A2/WNT5A/EDNRB/TRIM58/HES1/CLEC7A/MMP2/REN/LYL1/GATA3/LRRK2	11
BP	GO:1901214	regulation of neuron death	13/267	327/18614	0.00092782432452985	0.00807377405336296	0.005640419239899	BTG2/NQO1/CLN3/NR4A2/FOS/NR4A3/WNT5A/CCL2/SORL1/ITGB2/GATA3/LRRK2/IL10	13
BP	GO:0051098	regulation of binding	14/267	369/18614	0.000937004732018916	0.00813500218141824	0.00568319382204897	NFKBIA/MMP9/CARD16/HEY1/LEF1/WNT5A/HES1/SORL1/RIPOR2/NOG/TMC8/GATA3/LRRK2/IL10	14
BP	GO:0031665	negative regulation of lipopolysaccharide-mediated signaling pathway	3/267	14/18614	0.000944863053593855	0.0081472964212161	0.00569178270083571	TRIB1/TNFAIP3/CARD16	3
BP	GO:0061043	regulation of vascular wound healing	3/267	14/18614	0.000944863053593855	0.0081472964212161	0.00569178270083571	TNFAIP3/SERPINE1/CXCR4	3
BP	GO:0070942	neutrophil mediated cytotoxicity	3/267	14/18614	0.000944863053593855	0.0081472964212161	0.00569178270083571	TREM1/CXCL6/NLRP6	3
BP	GO:0002228	natural killer cell mediated immunity	6/267	79/18614	0.000953714301564559	0.00820373189572535	0.00573120908732248	IL18/GZMB/CD96/SH2D1B/KLRB1/HAVCR2	6
BP	GO:0043304	regulation of mast cell degranulation	4/267	31/18614	0.000960057185477611	0.00820373189572535	0.00573120908732248	ADGRE2/VAMP8/RAC2/FGR	4
BP	GO:0060674	placenta blood vessel development	4/267	31/18614	0.000960057185477611	0.00820373189572535	0.00573120908732248	SOCS3/JUNB/HEY1/HES1	4
BP	GO:0071276	cellular response to cadmium ion	4/267	31/18614	0.000960057185477611	0.00820373189572535	0.00573120908732248	MMP9/FOS/NCF1/CYBB	4
BP	GO:0070555	response to interleukin-1	8/267	141/18614	0.000989143143245181	0.00843327884375779	0.00589157287922263	IL6/CCL20/IL1R2/CCL2/IL1B/HES1/MMP2/CCL24	8
BP	GO:0001889	liver development	8/267	142/18614	0.00103545759277233	0.00880835449995116	0.00615360448100242	IL6/TNFAIP3/TGFA/SLC7A5/UCP2/HAMP/HES1/IL10	8
BP	GO:0046686	response to cadmium ion	5/267	54/18614	0.00104226057363825	0.008846390640679	0.00618017690903357	MMP9/FOS/NCF1/KIT/CYBB	5
BP	GO:0010469	regulation of signaling receptor activity	9/267	177/18614	0.00105906541118369	0.00896896020096186	0.00626580522876064	SERPINE1/TGFA/HBEGF/NCF1/CCL2/CCR2/NOG/PLAU/IL10	9
BP	GO:0097305	response to alcohol	11/267	252/18614	0.00107720524734402	0.00908678642357551	0.00634811980538888	NQO1/CD27/CD14/CDH1/FOS/HAMP/CYBB/SLC10A1/GNG2/S100A8/GATA3	11
BP	GO:0014074	response to purine-containing compound	8/267	143/18614	0.00108349047530597	0.00908678642357551	0.00634811980538888	THBD/FOS/PTGS2/IL1B/AQP9/PIK3CG/REN/PTAFR	8
BP	GO:0002313	mature B cell differentiation involved in immune response	4/267	32/18614	0.00108495367682649	0.00908678642357551	0.00634811980538888	IL6/NFKBIZ/PLCG2/IL10	4
BP	GO:0002431	Fc receptor mediated stimulatory signaling pathway	4/267	32/18614	0.00108495367682649	0.00908678642357551	0.00634811980538888	NR4A3/HCK/PTPRC/FGR	4
BP	GO:0002862	negative regulation of inflammatory response to antigenic stimulus	4/267	32/18614	0.00108495367682649	0.00908678642357551	0.00634811980538888	HCK/NLRP6/FGR/IL10	4
BP	GO:0009612	response to mechanical stimulus	10/267	215/18614	0.00112020628768151	0.00936137148780538	0.00653994767535831	BTG2/NFKBIA/CXCR4/FOS/PTGS2/IL1B/KIT/CHRNA9/MMP2/CASP1	10
BP	GO:0014065	phosphatidylinositol 3-kinase signaling	8/267	144/18614	0.00113328745614894	0.00944987386511888	0.00660177632060853	IL18/NCF1/KIT/OSM/PIK3CG/PIK3AP1/FGR/GATA3	8
BP	GO:0007204	positive regulation of cytosolic calcium ion concentration	9/267	179/18614	0.00114589559031699	0.00953405234575144	0.00666058424842609	EDNRB/FPR1/S1PR4/CHRNA9/PIK3CG/CCR1/C5AR1/C3AR1/FPR2	9
BP	GO:0061097	regulation of protein tyrosine kinase activity	6/267	82/18614	0.00115934488879382	0.00959674991069243	0.00670438539386942	TGFA/HBEGF/CASS4/NEDD9/NCF1/PTPRC	6
BP	GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide	6/267	82/18614	0.00115934488879382	0.00959674991069243	0.00670438539386942	CXCL2/CXCL1/CXCL3/CXCL6/PF4/CXCL5	6
BP	GO:0001771	immunological synapse formation	3/267	15/18614	0.00116860792270424	0.00959674991069243	0.00670438539386942	NEDD9/DOCK8/HAVCR2	3
BP	GO:0002679	respiratory burst involved in defense response	3/267	15/18614	0.00116860792270424	0.00959674991069243	0.00670438539386942	NCF1/HCK/PIK3CG	3
BP	GO:0034116	positive regulation of heterotypic cell-cell adhesion	3/267	15/18614	0.00116860792270424	0.00959674991069243	0.00670438539386942	IL1B/LCK/IL10	3
BP	GO:2000402	negative regulation of lymphocyte migration	3/267	15/18614	0.00116860792270424	0.00959674991069243	0.00670438539386942	CCL2/RIPOR2/APOD	3
BP	GO:0061008	hepaticobiliary system development	8/267	145/18614	0.00118489483912584	0.00970948384372233	0.00678314244610405	IL6/TNFAIP3/TGFA/SLC7A5/UCP2/HAMP/HES1/IL10	8
BP	GO:0033006	regulation of mast cell activation involved in immune response	4/267	33/18614	0.00122081990703192	0.00990549731442432	0.00692007941562035	ADGRE2/VAMP8/RAC2/FGR	4
BP	GO:0048710	regulation of astrocyte differentiation	4/267	33/18614	0.00122081990703192	0.00990549731442432	0.00692007941562035	IL6/ID2/HES1/NOG	4
BP	GO:1901889	negative regulation of cell junction assembly	4/267	33/18614	0.00122081990703192	0.00990549731442432	0.00692007941562035	TLR2/WNT5A/IL1B/APOD	4
BP	GO:0006898	receptor-mediated endocytosis	11/267	256/18614	0.00122278072214801	0.00990549731442432	0.00692007941562035	SERPINE1/CLN3/CD14/ACKR3/PLCG2/SORL1/GTF2H2/ITGB2/MARCO/CALCRL/CXCR1	11
BP	GO:0007200	phospholipase C-activating G protein-coupled receptor signaling pathway	7/267	113/18614	0.00122520028205112	0.00990549731442432	0.00692007941562035	EDNRB/FPR1/TGM2/FFAR2/C5AR1/C3AR1/FPR2	7
BP	GO:0044344	cellular response to fibroblast growth factor stimulus	7/267	113/18614	0.00122520028205112	0.00990549731442432	0.00692007941562035	SHCBP1/ZFP36/WNT5A/CCL2/NR4A1/NOG/GATA3	7
BP	GO:0007492	endoderm development	6/267	83/18614	0.0012349236240703	0.00990549731442432	0.00692007941562035	DUSP2/MMP9/NOG/GDF3/MMP2/ITGB2	6
BP	GO:0014068	positive regulation of phosphatidylinositol 3-kinase signaling	6/267	83/18614	0.0012349236240703	0.00990549731442432	0.00692007941562035	IL18/NCF1/KIT/OSM/PIK3AP1/FGR	6
BP	GO:0046209	nitric oxide metabolic process	6/267	83/18614	0.0012349236240703	0.00990549731442432	0.00692007941562035	NQO1/TLR2/PTGS2/IL1B/CLEC7A/IL10	6
BP	GO:0050871	positive regulation of B cell activation	6/267	83/18614	0.0012349236240703	0.00990549731442432	0.00692007941562035	IL6/CD27/PTPRC/IL2RG/SASH3/IL10	6
BP	GO:2001057	reactive nitrogen species metabolic process	6/267	84/18614	0.00131421442435132	0.0105192606033522	0.00734886058298164	NQO1/TLR2/PTGS2/IL1B/CLEC7A/IL10	6
BP	GO:0001706	endoderm formation	5/267	57/18614	0.00133267952618723	0.0106139100858921	0.00741498365737492	DUSP2/MMP9/NOG/MMP2/ITGB2	5
BP	GO:0007566	embryo implantation	5/267	57/18614	0.00133267952618723	0.0106139100858921	0.00741498365737492	MMP9/ARHGDIB/PTGS2/IL1B/MMP2	5
BP	GO:0042326	negative regulation of phosphorylation	14/267	383/18614	0.00133443202714037	0.0106139100858921	0.00741498365737492	TRIB1/TNFAIP3/SOCS3/DUSP6/NLRP12/CHORDC1/IL1B/IER3/SORL1/PKIB/SOCS1/NOG/PTPRC/LRRK2	14
BP	GO:0001933	negative regulation of protein phosphorylation	13/267	341/18614	0.00135483869929388	0.0107536778768221	0.00751262683290463	TRIB1/TNFAIP3/SOCS3/DUSP6/NLRP12/CHORDC1/IL1B/SORL1/PKIB/SOCS1/NOG/PTPRC/LRRK2	13
BP	GO:0045577	regulation of B cell differentiation	4/267	34/18614	0.0013681573681693	0.0107692718979965	0.00752352097193773	ID2/CD27/IL2RG/IL10	4
BP	GO:0048265	response to pain	4/267	34/18614	0.0013681573681693	0.0107692718979965	0.00752352097193773	SCN3A/EDNRB/AQP9/LPAR5	4
BP	GO:1902624	positive regulation of neutrophil migration	4/267	34/18614	0.0013681573681693	0.0107692718979965	0.00752352097193773	RIPOR2/C5AR1/RAC2/C3AR1	4
BP	GO:2000406	positive regulation of T cell migration	4/267	34/18614	0.0013681573681693	0.0107692718979965	0.00752352097193773	CCL20/WNT5A/DOCK8/CCR2	4
BP	GO:0001503	ossification	15/267	429/18614	0.00140989148444195	0.0110747997763411	0.00773696580107842	IL6/EGR2/JUNB/OSR2/LEF1/MGP/PTHLH/WNT5A/PTGS2/TNFAIP6/CCR1/NOG/CLEC5A/MMP2/FGR	15
BP	GO:0021783	preganglionic parasympathetic fiber development	3/267	16/18614	0.00142311057432358	0.0110868203675229	0.00774536350620724	EGR2/ACKR3/HES1	3
BP	GO:0030852	regulation of granulocyte differentiation	3/267	16/18614	0.00142311057432358	0.0110868203675229	0.00774536350620724	TRIB1/LEF1/EVI2B	3
BP	GO:0045579	positive regulation of B cell differentiation	3/267	16/18614	0.00142311057432358	0.0110868203675229	0.00774536350620724	CD27/IL2RG/IL10	3
BP	GO:0045651	positive regulation of macrophage differentiation	3/267	16/18614	0.00142311057432358	0.0110868203675229	0.00774536350620724	TRIB1/ID2/PF4	3
BP	GO:0050768	negative regulation of neurogenesis	8/267	150/18614	0.00147175246308146	0.0114422722232194	0.00799368572484711	BTG2/IL6/CDH1/WNT5A/IL1B/HES1/SORL1/NOG	8
BP	GO:0008306	associative learning	6/267	86/18614	0.00148440887243658	0.0115170700654895	0.00804594024495814	BTG2/CLN3/FOS/KIT/NOG/NRGN	6
BP	GO:0043405	regulation of MAP kinase activity	9/267	186/18614	0.00149622732247033	0.0115845197072165	0.00809306123873457	TRIB1/TGFA/WNT5A/IL1B/KIT/SORL1/PIK3CG/PTPRC/LRRK2	9
BP	GO:0043406	positive regulation of MAP kinase activity	7/267	117/18614	0.00149920906068616	0.0115845197072165	0.00809306123873457	TGFA/WNT5A/IL1B/KIT/PIK3CG/PTPRC/LRRK2	7
BP	GO:0051346	negative regulation of hydrolase activity	13/267	345/18614	0.0015032449033608	0.0115920958604693	0.00809835401511017	SERPINA1/PI3/MMP9/SERPINE1/CD27/CARD16/PTGS2/NR4A1/SORL1/CSTA/VIL1/SERPINB2/LRRK2	13
BP	GO:0001894	tissue homeostasis	11/267	263/18614	0.00151638056944526	0.0116460483410432	0.00813604575721963	IL6/TNFAIP3/TNFRSF11B/LYZ/NFKBIZ/PTGS2/HAMP/JCHAIN/BBS12/SASH3/IGHA1	11
BP	GO:0060249	anatomical structure homeostasis	11/267	263/18614	0.00151638056944526	0.0116460483410432	0.00813604575721963	IL6/TNFAIP3/TNFRSF11B/LYZ/NFKBIZ/PTGS2/HAMP/JCHAIN/BBS12/SASH3/IGHA1	11
BP	GO:0033157	regulation of intracellular protein transport	10/267	224/18614	0.00152270732518366	0.0116710133166602	0.00815348653867613	CDH1/GZMB/PTGS2/IL1B/SORL1/LCP1/APOD/ITGB2/RAC2/LRRK2	10
BP	GO:0061081	positive regulation of myeloid leukocyte cytokine production involved in immune response	4/267	35/18614	0.00152746590209792	0.0116838823237087	0.00816247695560814	NR4A3/WNT5A/PLCG2/KIT	4
BP	GO:0051897	positive regulation of protein kinase B signaling	7/267	118/18614	0.00157464555354703	0.0120205336622886	0.00839766494510519	HBEGF/CASS4/IL18/NTS/OSM/PIK3CG/GATA3	7
BP	GO:0007612	learning	8/267	152/18614	0.00160085894984224	0.0121961021198825	0.00852031882414451	BTG2/TLR2/CLN3/FOS/PTGS2/KIT/NOG/NRGN	8
BP	GO:0046718	viral entry into host cell	8/267	153/18614	0.00166869132824812	0.0126874046079627	0.00886354765220708	ANPEP/CXCR4/TRIM22/TRIM58/SLC10A1/CLEC5A/TMPRSS4/VAMP8	8
BP	GO:0097191	extrinsic apoptotic signaling pathway	10/267	227/18614	0.00168040207610494	0.0127508909534843	0.0089078998476468	TNFAIP3/ITPRIP/SERPINE1/CD27/NFKBIZ/IL1B/PF4/BCL2A1/PTPRC/TMC8	10
BP	GO:0031649	heat generation	3/267	17/18614	0.00170984196570446	0.0128713103529419	0.00899202604353348	EDNRB/PTGS2/IL1B	3
BP	GO:0034138	toll-like receptor 3 signaling pathway	3/267	17/18614	0.00170984196570446	0.0128713103529419	0.00899202604353348	TNFAIP3/SCIMP/HAVCR2	3
BP	GO:0097396	response to interleukin-17	3/267	17/18614	0.00170984196570446	0.0128713103529419	0.00899202604353348	SOCS3/NFKBIZ/IL1B	3
BP	GO:0097398	cellular response to interleukin-17	3/267	17/18614	0.00170984196570446	0.0128713103529419	0.00899202604353348	SOCS3/NFKBIZ/IL1B	3
BP	GO:0051051	negative regulation of transport	16/267	483/18614	0.00171931125347608	0.0129169641498777	0.00902392024231949	MMP9/TLR2/UCP2/PTGS2/HAMP/IL1B/HES1/OSM/FFAR2/PACSIN1/CCR2/APOD/ANO9/VAMP8/IL11/LRRK2	16
BP	GO:0031099	regeneration	9/267	190/18614	0.00173215970702449	0.012978677078659	0.00906703351110153	IL6/SLC7A5/UCP2/NR4A3/HAMP/LCP1/MMP2/APOD/IL10	9
BP	GO:0071774	response to fibroblast growth factor	7/267	120/18614	0.00173436723217715	0.012978677078659	0.00906703351110153	SHCBP1/ZFP36/WNT5A/CCL2/NR4A1/NOG/GATA3	7
BP	GO:0045936	negative regulation of phosphate metabolic process	15/267	439/18614	0.00176505984556316	0.013171539396135	0.00920176905348274	TRIB1/TNFAIP3/SOCS3/DUSP6/NLRP12/CHORDC1/IL1B/IER3/SORL1/PKIB/SOCS1/NOG/PTPRC/PLEK/LRRK2	15
BP	GO:0001892	embryonic placenta development	6/267	89/18614	0.00177055484766179	0.013171539396135	0.00920176905348274	SOCS3/JUNB/HEY1/LEF1/HES1/IL10	6
BP	GO:0051591	response to cAMP	6/267	89/18614	0.00177055484766179	0.013171539396135	0.00920176905348274	THBD/FOS/AQP9/PIK3CG/REN/PTAFR	6
BP	GO:0050777	negative regulation of immune response	9/267	191/18614	0.00179556740503668	0.0133314730620532	0.00931350031080927	TNFAIP3/HCK/CD96/CCR2/PTPRC/NLRP6/HAVCR2/FGR/IL10	9
BP	GO:0010563	negative regulation of phosphorus metabolic process	15/267	440/18614	0.00180436179736622	0.0133706028500145	0.00934083677172726	TRIB1/TNFAIP3/SOCS3/DUSP6/NLRP12/CHORDC1/IL1B/IER3/SORL1/PKIB/SOCS1/NOG/PTPRC/PLEK/LRRK2	15
BP	GO:0043547	positive regulation of GTPase activity	11/267	272/18614	0.00197634915865365	0.0146165082025964	0.010211238702144	CCL20/NEDD9/RGS16/WNT5A/TGM2/CCL2/DOCK8/RGL4/GRHL3/ADAP2/CCL24	11
BP	GO:2000117	negative regulation of cysteine-type endopeptidase activity	6/267	91/18614	0.00198333438728151	0.0146396316446421	0.010227392969844	MMP9/CD27/CARD16/PTGS2/NR4A1/VIL1	6
BP	GO:0022612	gland morphogenesis	7/267	123/18614	0.00199723352136316	0.0146850852326586	0.0102591473006782	IL6/TNFAIP3/TGFA/WNT5A/TGM2/NOG/MMP2	7
BP	GO:0042471	ear morphogenesis	7/267	123/18614	0.00199723352136316	0.0146850852326586	0.0102591473006782	ALDH1A3/OSR2/WNT5A/CHRNA9/NOG/GRHL3/GATA3	7
BP	GO:0002693	positive regulation of cellular extravasation	3/267	18/18614	0.00203019109789122	0.0147276195514327	0.0102888622008455	RIPOR2/CCR2/PTAFR	3
BP	GO:0002827	positive regulation of T-helper 1 type immune response	3/267	18/18614	0.00203019109789122	0.0147276195514327	0.0102888622008455	IL18/IL1B/CCR2	3
BP	GO:0045064	T-helper 2 cell differentiation	3/267	18/18614	0.00203019109789122	0.0147276195514327	0.0102888622008455	IL18/NLRP3/GATA3	3
BP	GO:0048486	parasympathetic nervous system development	3/267	18/18614	0.00203019109789122	0.0147276195514327	0.0102888622008455	EGR2/ACKR3/HES1	3
BP	GO:0051770	positive regulation of nitric-oxide synthase biosynthetic process	3/267	18/18614	0.00203019109789122	0.0147276195514327	0.0102888622008455	TLR2/CCL2/LRRK2	3
BP	GO:0051917	regulation of fibrinolysis	3/267	18/18614	0.00203019109789122	0.0147276195514327	0.0102888622008455	SERPINE1/THBD/PLAU	3
BP	GO:0090594	inflammatory response to wounding	3/267	18/18614	0.00203019109789122	0.0147276195514327	0.0102888622008455	SIGLEC10/NFKBIZ/CCR2	3
BP	GO:0045742	positive regulation of epidermal growth factor receptor signaling pathway	4/267	38/18614	0.00208217833147924	0.0150472087421566	0.0105121304033378	MMP9/TGFA/HBEGF/NCF1	4
BP	GO:0140894	endolysosomal toll-like receptor signaling pathway	4/267	38/18614	0.00208217833147924	0.0150472087421566	0.0105121304033378	TNFAIP3/PIK3AP1/SCIMP/HAVCR2	4
BP	GO:0007188	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	10/267	234/18614	0.00210019007289741	0.0151485192710509	0.0105829069512821	ADGRG3/PTHLH/FPR1/ADGRE2/PF4/GNG2/ADGRG6/MARCO/CALCRL/FPR2	10
BP	GO:0044409	entry into host	8/267	160/18614	0.00220962840348534	0.015894045610392	0.0111037391024518	ANPEP/CXCR4/TRIM22/TRIM58/SLC10A1/CLEC5A/TMPRSS4/VAMP8	8
BP	GO:0070301	cellular response to hydrogen peroxide	6/267	93/18614	0.00221490691127461	0.015894045610392	0.0111037391024518	IL6/TNFAIP3/NQO1/NR4A3/LRRK2/IL10	6
BP	GO:0002520	immune system development	9/267	197/18614	0.00221611758774312	0.015894045610392	0.0111037391024518	TNFAIP3/LEF1/NFKBIZ/HES1/PTPRC/HAVCR2/CXCR5/GATA3/IL10	9
BP	GO:0032615	interleukin-12 production	5/267	64/18614	0.00223756697422621	0.0159874371002152	0.0111689833305612	TLR2/PLCG2/CLEC7A/SCIMP/IL10	5
BP	GO:0032655	regulation of interleukin-12 production	5/267	64/18614	0.00223756697422621	0.0159874371002152	0.0111689833305612	TLR2/PLCG2/CLEC7A/SCIMP/IL10	5
BP	GO:0060251	regulation of glial cell proliferation	4/267	39/18614	0.00229431474076283	0.0163620867038613	0.0114307172877737	IL6/SLC7A5/IL1B/HES1	4
BP	GO:0010759	positive regulation of macrophage chemotaxis	3/267	19/18614	0.00238546751903843	0.016853750032089	0.0117741982023694	RARRES2/C5AR1/C3AR1	3
BP	GO:0030903	notochord development	3/267	19/18614	0.00238546751903843	0.016853750032089	0.0117741982023694	WNT5A/NOG/GDF3	3
BP	GO:0032930	positive regulation of superoxide anion generation	3/267	19/18614	0.00238546751903843	0.016853750032089	0.0117741982023694	CLEC7A/ITGB2/FPR2	3
BP	GO:0060716	labyrinthine layer blood vessel development	3/267	19/18614	0.00238546751903843	0.016853750032089	0.0117741982023694	JUNB/HEY1/HES1	3
BP	GO:0098543	detection of other organism	3/267	19/18614	0.00238546751903843	0.016853750032089	0.0117741982023694	TLR2/CD1D/CLEC7A	3
BP	GO:0046888	negative regulation of hormone secretion	5/267	65/18614	0.00239612724762388	0.0168662463404175	0.011782928248251	UCP2/IL1B/OSM/FFAR2/IL11	5
BP	GO:0072577	endothelial cell apoptotic process	5/267	65/18614	0.00239612724762388	0.0168662463404175	0.011782928248251	TNFAIP3/SERPINE1/CCL2/GATA3/IL10	5
BP	GO:0002753	cytosolic pattern recognition receptor signaling pathway	6/267	95/18614	0.00246630255224843	0.0172960293590213	0.0120831789601353	TNFAIP3/NFKBIA/PIK3AP1/RNF125/SCIMP/HAVCR2	6
BP	GO:0045638	negative regulation of myeloid cell differentiation	6/267	95/18614	0.00246630255224843	0.0172960293590213	0.0120831789601353	TRIB1/TNFRSF11B/NFKBIA/ZFP36/PF4/TNFAIP6	6
BP	GO:0051962	positive regulation of nervous system development	11/267	280/18614	0.00247514183709633	0.0173259928596743	0.0121041117611353	IL6/EGR2/ID2/CHODL/TLR2/CXCR4/SLC7A5/TGM2/IL1B/KIT/HES1	11
BP	GO:0010863	positive regulation of phospholipase C activity	4/267	40/18614	0.00252087528382436	0.0175525877741848	0.0122624132329155	S1PR4/KIT/C5AR1/PTAFR	4
BP	GO:1901186	positive regulation of ERBB signaling pathway	4/267	40/18614	0.00252087528382436	0.0175525877741848	0.0122624132329155	MMP9/TGFA/HBEGF/NCF1	4
BP	GO:0045860	positive regulation of protein kinase activity	13/267	366/18614	0.00252139175986577	0.0175525877741848	0.0122624132329155	TGFA/HBEGF/CASS4/IL18/NEDD9/NCF1/WNT5A/IL1B/KIT/SOCS1/PIK3CG/PTPRC/LRRK2	13
BP	GO:0032613	interleukin-10 production	5/267	66/18614	0.0025626984310605	0.0177424778238021	0.0123950723192669	IL6/TLR2/PLCG2/CLEC7A/SASH3	5
BP	GO:0032653	regulation of interleukin-10 production	5/267	66/18614	0.0025626984310605	0.0177424778238021	0.0123950723192669	IL6/TLR2/PLCG2/CLEC7A/SASH3	5
BP	GO:0060760	positive regulation of response to cytokine stimulus	5/267	66/18614	0.0025626984310605	0.0177424778238021	0.0123950723192669	TLR2/CXCR4/WNT5A/NLRP6/CASP1	5
BP	GO:0032091	negative regulation of protein binding	6/267	96/18614	0.00259975992024445	0.0179336166134681	0.0125286037878957	CARD16/SORL1/NOG/TMC8/LRRK2/IL10	6
