	GSM4110156	GSM4110157	GSM4110158	GSM4110159	GSM4110160	GSM4110161
SZRD1	1848	8211	12028	9370	6136	3876
KCNH2	4976	8923	17396	3553	4912	5617
CUL1	1142	2845	3870	3696	2681	1525
FAM114A2	156	454	380	525	576	305
CYFIP2	898	1900	2128	1671	1616	983
TAB2	299	1624	1303	1275	730	1254
GINM1	387	1054	1323	1196	1018	643
EIF2AK2	422	735	858	736	753	620
USP36	1651	1997	1698	2488	1279	683
KMT2C	933	2552	1167	1768	1033	1471
MCOLN3	0	8	0	3	0	0
CCDC85A	33	843	234	468	128	198
PUM2	516	2222	1821	1826	1473	1523
MRPL43	860	1000	727	1057	1406	713
ITIH4	191	121	213	117	147	53
ITIH1	0	4	0	0	0	0
HPF1	158	336	403	343	538	236
ZFR	1173	4534	3778	3172	3180	3450
ZNF280C	12	22	37	82	72	99
PHF21B	13	19	54	4	33	23
TRAF1	34	344	344	243	283	106
RC3H2	284	912	773	737	654	695
IL17RB	7	54	44	17	19	26
TRAF3IP2	447	1015	1131	1574	760	689
GYG2	302	999	619	173	407	85
DCBLD2	1828	14580	5295	10042	10701	6017
SOAT1	149	1654	979	951	993	703
PKP2	961	3852	4187	4542	2619	2858
MSH4	0	0	0	0	0	1
F7	6	38	35	5	14	26
GDI2	2714	4322	6371	5601	6180	3497
PRDM1	28	51	73	40	116	15
ATG5	290	663	644	1040	438	435
TMCC3	47	646	510	525	365	225
PITHD1	368	675	966	903	671	351
MTA3	349	822	961	797	888	419
USP13	1425	6104	3458	5805	1614	1885
ATP11B	250	710	1231	1130	901	1015
LAMC2	0	0	9	0	3	9
CDK14	28	191	181	177	211	149
SEC61A1	6174	15864	20120	15959	11375	5984
PPP1R12A	1967	966	1592	1538	1148	612
RASGRF1	28	2	5	0	16	0
CAMK2B	382	254	255	56	105	117
CROCC	705	1346	1623	1138	956	460
POLR3E	547	981	1089	1359	845	554
ATP2B4	3762	10933	8155	6707	6015	7330
ZC3H11A	56	8691	255	6470	3719	1080
RIOK2	49	178	214	215	277	214
YIPF1	716	991	1738	2093	1733	675
NDC1	42	316	252	249	247	274
DGKG	5	134	107	95	58	37
FLYWCH1	1906	2475	2549	2238	2201	1346
UNKL	71	556	414	220	282	287
TBXAS1	5	30	37	52	177	23
PARP12	367	582	585	694	551	230
ALDH18A1	375	2344	1835	1005	1326	841
TARBP1	90	179	176	130	112	107
GATB	346	564	670	1057	635	307
MXD1	60	171	67	159	188	164
CDK17	67	581	374	487	343	273
DNAJC25	53	521	257	299	272	156
SLC2A3	522	1723	1072	1816	1168	753
PSD	533	601	685	128	450	262
CTDP1	1607	4340	4746	2651	2457	1495
YBX3	9081	12695	18004	19224	9985	5793
STYK1	8	105	92	82	49	23
WNK1	1098	3199	2411	1898	1397	1764
CCAR1	5044	2856	4610	3668	4073	1741
OGFR	2652	2619	1772	1846	2684	1011
GNA15	16	0	15	12	82	13
CREB3L3	66	257	31	153	141	180
PIGV	56	213	172	312	168	112
PTPRU	46	151	73	85	39	60
SNRNP40	292	970	1085	836	902	575
RIMBP2	25	3	6	0	0	0
COL11A1	12	284	142	768	39	55
QSER1	168	855	531	471	295	465
MPC1	224	224	316	289	447	281
ACAA1	1161	2502	3120	2866	2273	1058
BCAT1	4059	12836	5674	5757	6533	5737
HDAC7	1980	5900	2863	4779	2272	1356
LZTS1	32	37	136	134	109	89
PRDM6	0	54	128	100	35	24
SPAG4	159	1333	479	831	427	107
NCKAP1	588	2552	2065	2719	1705	1812
MRPS35	414	907	1035	885	848	600
GUCY1B1	6	33	46	33	23	23
SFSWAP	2366	1958	2251	1640	1335	774
TNK2	835	676	862	475	641	398
MON2	128	756	379	483	375	461
CDH3	54	63	41	5	232	149
ARSF	0	6	10	6	0	0
GPBP1	783	2401	2370	2101	1807	1159
DGAT2	29	119	128	223	260	115
ZNF112	28	143	160	69	160	166
CS	565	2888	4274	4806	3126	2043
LTK	87	189	190	78	209	114
MRPS24	798	1389	1568	2002	1433	714
ELMO2	468	981	1057	869	831	557
WAPL	334	1317	970	940	846	862
VMP1	542	2302	2750	3205	3153	1594
APPBP2	292	873	951	685	689	740
POLD1	501	879	971	701	585	388
SEZ6	7	0	0	0	0	0
EIF4B	6904	10574	11568	12652	12788	6705
SLC6A16	21	5	2	13	6	0
BICRA	1072	1802	1292	1214	1337	708
SPHK2	552	1434	1888	1378	979	701
RPL18	20572	16267	25943	32418	26449	9660
CA11	263	281	507	154	154	94
ISOC2	1519	1247	2618	1241	1346	811
U2AF2	2108	7022	7087	7952	5251	3445
EPN1	6368	9182	11443	7850	7346	3804
MED29	1662	2376	230	324	395	225
AHRR	8	41	50	5	35	9
ZNF275	2142	4602	4300	7040	4449	4279
MTMR1	102	519	421	456	212	238
GPC1	25685	76384	80436	58349	50341	23461
ADCK1	119	228	259	311	160	114
HAGH	1147	1499	1427	1186	1064	517
RNF4	285	724	1082	763	777	422
CASP8	119	285	328	503	270	222
LIMCH1	66	64	45	60	79	7
INTS13	267	935	885	1051	978	531
TM7SF3	660	2650	2379	2056	2786	1853
DLX3	0	5	0	0	0	0
SPA17	46	31	62	77	80	48
TSPAN32	3	0	8	28	25	2
CCN5	857	2636	4155	1333	3627	1445
ST3GAL6	39	40	61	25	20	25
ATP2C2	5	15	18	11	6	10
NGFR	4	10	19	4	27	2
CDON	0	78	67	38	40	60
TAF2	173	738	610	774	629	605
HIPK2	1952	3070	3028	3619	2717	2157
TNPO3	729	2973	3096	2789	1993	1401
BORCS8-MEF2B	189	373	596	320	308	126
RFXANK	995	1274	1901	1909	1747	693
TMEM161A	163	633	689	875	777	294
LPAR2	368	174	163	94	231	53
CTSA	2272	4313	4754	5451	4061	1486
SUGP2	1241	2629	2106	2228	1527	1117
SLC12A2	160	1142	1536	1145	1200	1198
SNX24	85	155	334	269	193	78
EYA2	0	43	20	31	11	6
CNN2	2141	2950	5438	4819	3009	1615
ABCA7	868	1219	783	865	907	393
DDX20	92	167	167	82	144	188
BTBD1	398	1660	1366	1342	1305	993
FAR2	22	18	11	23	0	15
BCAS1	4	30	21	31	10	0
CHI3L2	0	0	2	55	12	0
SBNO2	3207	10348	7354	9016	7275	5415
PMS1	8	170	166	191	109	169
HMG20B	3638	4076	5392	4683	3935	1888
CALCRL	0	9	61	77	104	48
TAF11	955	1653	2629	2137	2441	1612
ANKS1A	598	1626	1929	2555	1834	1661
AP3D1	5945	9161	7485	7915	5196	3051
ZNF76	796	1392	1193	1245	1059	515
SLC9A3R2	262	105	179	47	154	91
NTHL1	154	212	280	326	170	143
UHRF1BP1	313	518	554	1257	732	837
GNAI3	1754	5233	4370	5808	3734	2984
IPO5	1443	4466	4839	5598	4234	2938
OAT	188	464	507	586	900	602
WDR3	135	796	724	873	914	593
PKN2	15	533	420	532	473	583
WDR18	1512	2391	3671	2783	2052	711
TRAM2	940	8107	7736	10219	3550	3730
NTN1	2	42	59	45	29	22
MCM10	5	2	8	20	23	16
DGKA	386	793	968	614	820	531
ERBB3	77	79	160	108	129	120
ROPN1	0	0	0	0	4	0
ANKRD44	14	104	109	278	139	102
KARS	1581	2922	3956	5699	4187	1923
ADAT1	425	438	495	564	390	229
PDIA5	1594	7495	9636	5910	3973	2819
TBC1D22B	162	479	610	858	472	271
NDUFB4	639	983	1029	1346	1200	398
SPEN	697	3687	2545	3782	2587	2031
MYLK	26	78	63	59	109	99
ZC3H15	1364	1901	2301	2305	2426	1153
MAP2K4	469	1252	1506	839	1061	783
TMEM206	34	153	256	176	163	148
SNAP91	0	17	0	0	2	6
SLK	551	1757	1315	1404	1568	1112
CYB5R4	18	437	405	413	341	346
COL17A1	0	11	2	13	6	0
GSTO2	0	29	36	15	9	14
SEC61A2	33	77	87	128	73	45
PRKCQ	35	51	123	50	51	42
TLE2	34	57	120	38	39	29
ASB1	638	1166	840	267	702	369
FAM107B	510	2213	3042	2463	1381	1083
ME1	196	750	438	1276	753	322
TBC1D1	929	1206	1719	1497	1206	851
CDK13	1307	2595	1976	2043	1421	1071
MTHFD2	257	1354	869	1247	986	712
SLC9A7	700	355	426	215	274	152
FOXJ2	338	805	926	725	592	596
YBX1	21427	28587	37546	34113	29415	17885
AC011529.1	64	39	112	39	103	25
PPP2R5A	469	1173	1173	1213	945	656
CTNNA2	16	24	29	60	28	15
ELAVL1	1273	3062	3629	2524	2304	1361
TIE1	0	0	2	0	0	0
DIP2B	146	848	698	783	595	625
SMARCD1	460	1437	1628	2218	1065	744
KDM4A	424	1365	1712	1386	1066	913
NFYC	467	1406	1389	1370	1221	511
ZMYND12	12	17	17	11	9	5
SLC9A3	560	23	496	162	347	95
NGEF	12	563	19	54	14	10
ASPM	4	46	51	28	92	180
CD84	24	0	18	11	83	4
ELOVL1	519	1691	1989	2350	1715	957
SPI1	40	26	84	224	846	117
ZNRD1	169	241	327	511	277	166
MPPED2	21	18	24	36	66	15
CLDN18	0	0	4	0	8	0
ZBTB11	77	446	276	365	383	400
ATXN3	190	483	267	284	353	194
GOLGA5	807	2396	2396	2110	1964	922
FGFR2	0	3	0	0	0	0
LRRC40	39	164	129	203	248	185
ISOC1	237	698	632	577	775	402
EML1	26	19	93	31	71	46
TRMT11	34	141	119	147	150	94
THUMPD1	606	815	870	734	1064	653
MSANTD3	348	360	509	788	363	121
KIF26A	1197	4011	925	74	1338	134
ATG2B	154	983	789	1076	572	760
ARFGEF1	358	1410	1019	1002	844	905
ZFAT	44	360	437	383	260	151
MTFR1	54	276	313	265	284	231
STAG3	22	166	63	89	77	88
FECH	246	431	345	515	491	479
MYO9A	501	1571	1145	1559	1061	794
PFKP	7006	30888	21823	22749	13682	6147
IDI1	4144	13725	8281	3279	6575	2878
SP100	572	1040	1307	1987	1284	675
KLF6	15315	10189	7447	12739	6443	4571
PLPP1	83	571	652	408	546	265
NEO1	235	896	1010	959	439	618
TRAM1	249	2001	1416	1129	896	1286
PHKA1	272	919	525	625	538	362
TNFRSF1A	2818	5186	6655	6303	3082	2402
CACNB1	339	947	473	385	389	207
EVI5	248	937	836	963	280	490
STOML1	116	551	692	433	409	213
PKM	16423	48870	20832	40416	25286	14524
DHX29	167	786	742	855	814	598
DNTTIP2	550	1281	1367	1738	1386	570
METTL22	234	463	359	397	360	284
TP53BP1	809	3461	2888	2977	2439	1888
TRO	346	536	574	510	827	502
RRP15	290	279	523	577	649	322
RHOA	6693	12742	15506	16651	12962	6697
DHX8	617	1445	1409	1581	1341	816
PMS2P4	20	14	41	68	55	21
PRKCZ	575	1155	999	664	598	305
IARS2	556	2736	1980	2622	2119	1181
SYT1	26	10	54	16	59	30
NAV3	3	246	97	103	74	73
IDH3G	1966	2900	3977	4731	3255	1458
ROGDI	552	416	548	462	673	233
PDZD4	64	328	154	28	92	37
ATP2B3	20	23	18	4	10	4
ROCK1	1329	2269	1124	1253	1144	850
CBFB	688	1915	3169	2740	1486	2747
PDK3	1136	3189	1989	891	1852	954
HYAL2	553	1107	1714	1900	1156	794
HDAC4	500	1607	1354	1474	918	979
RASSF1	281	810	937	841	474	236
FGFR3	36	16	63	16	2	8
IFI35	1048	1097	1656	1065	1288	568
HEATR6	312	651	514	529	580	399
COASY	1307	2093	3104	2875	1483	881
PLEKHH3	285	703	858	777	395	308
MEF2A	450	988	754	852	651	669
OTUD5	2676	4417	4906	3927	2533	1418
TFE3	2219	6666	6402	7867	3831	2558
TBC1D25	814	1959	1922	1957	1414	590
ACSL4	1632	11113	5912	5639	4809	4695
INPP5A	458	1084	924	915	762	422
GPKOW	654	1365	1891	1425	1592	673
GRIPAP1	2136	3765	3808	3685	4048	1485
FTSJ1	1058	1684	2115	1437	1511	641
PRR11	223	72	77	36	89	106
REEP1	41	263	117	36	221	63
ATP11A	156	3395	453	2744	1349	921
POLR1A	647	2741	2781	3097	1701	1537
LAPTM4A	1165	4839	6137	7344	6076	3962
TTC7A	176	700	581	1135	486	268
IP6K2	1654	2556	3623	2862	2696	1455
STON1-GTF2A1L	20	39	17	14	33	12
SRBD1	93	299	292	196	362	214
KIF2A	167	451	439	417	390	426
RASGRP2	108	107	179	85	221	38
PSME4	2228	3846	2479	3428	2689	1645
IFT80	43	379	299	256	316	240
SIRT2	1723	2738	3597	2636	2328	1398
ERLEC1	379	1877	1305	1191	1167	754
PPP2R5B	786	2774	2471	1283	1455	1049
PYGM	8	114	18	53	14	11
PITX1	150	57	73	159	100	23
MAST4	1412	2135	1064	986	1198	496
ADGRF5	0	5	0	0	2	0
SDK2	185	890	656	191	204	308
NUP133	337	1260	1048	1028	1051	998
NUCKS1	10415	5631	8551	5416	7499	3972
VPS35	1051	2598	2518	2964	3446	2057
DNAJA2	1314	5163	5580	5498	3231	3402
BCL3	1045	1097	2988	1707	1903	1528
KCNAB2	44	583	144	258	151	84
ABCC9	28	24	24	14	14	21
GAL	2681	373	2874	360	3926	3005
CLEC2D	39	64	50	37	62	30
FUNDC1	203	221	586	364	379	245
MAOB	647	527	716	111	784	480
RORA	162	1285	502	835	420	686
DRD4	132	270	183	152	54	39
TGFBR3	1517	9615	5078	1966	3938	1990
PLA2G10	0	7	7	3	0	3
ATP1B3	283	1880	2031	1000	1107	1474
NEDD4	192	637	799	518	1045	692
PIGB	12	158	96	133	95	98
MAPK6	262	1665	1239	1787	1174	1079
GNB5	190	376	535	299	475	254
RAB27A	558	963	867	747	744	414
HDHD5	1197	1892	1919	1534	1050	630
UFD1	561	992	1084	1324	1295	475
LRP6	124	461	322	410	252	420
GUCY2C	0	0	0	2	0	2
SCT	48	28	72	16	44	16
PHRF1	1911	7400	5873	6330	3609	2440
ELP1	290	1643	934	1482	1122	771
NUCB2	637	1543	1300	1267	1111	533
PFN2	248	650	533	654	524	304
PTPN3	12	122	27	139	45	18
SPTB	0	14	2	10	49	6
DAPP1	12	0	4	7	34	0
FGF10	7	109	12	29	15	25
SLC44A1	134	628	699	481	525	410
TMEM260	32	224	147	354	222	200
SMG6	461	1083	1230	934	582	645
EXOC5	118	815	757	591	698	734
CLTCL1	138	342	133	418	151	83
FGF22	8	8	34	31	3	3
FSTL3	7275	20970	20377	13490	9102	4243
DGCR2	1073	4321	4611	3853	2233	1784
RNF126	1534	2930	2400	2517	1616	805
MNT	549	4472	2100	5118	1855	1067
ZXDC	694	2248	2107	1305	1347	937
JMJD6	1114	5087	4869	5366	2741	1217
POLB	178	176	288	290	368	192
ST6GALNAC1	10	16	11	2	31	19
WIPI1	874	1405	2202	1006	1422	597
FRMPD1	0	4	4	0	5	0
GBA2	3030	5592	6851	5136	4363	2964
NDST1	707	3539	3527	3474	2307	1981
ASNS	90	354	442	492	340	243
AP3M2	99	123	159	271	54	107
CNGB1	2	2	13	0	0	0
ST6GALNAC2	70	118	323	194	218	145
PABPC1	5280	8071	10972	14172	8694	5843
TESK2	8	33	65	42	60	24
CFAP20	508	1555	1513	1623	949	885
CSNK2A2	881	1861	2044	1592	1264	981
AL162171.1	571	1686	1520	1299	1255	935
EIF2B3	216	403	514	995	720	305
TCOF1	6127	3038	3517	3023	1674	1035
CDC42	3128	6365	8061	9219	7348	4874
OSBPL3	0	31	2	14	57	4
EPHA8	0	0	7	20	0	18
RAD18	175	293	474	457	486	299
ATP2B1	3223	2100	2104	2447	2031	1817
TRPM5	0	21	0	0	6	9
NCK2	741	1499	1589	1301	1222	742
MAP4K4	12457	11108	12104	13555	8186	6052
MGAT4A	75	951	537	839	391	677
RPL31	17024	11929	17265	20164	22269	7581
WDR1	11621	25749	33121	24685	18425	10446
SNX13	87	507	382	532	329	371
ARHGAP10	403	523	488	550	633	489
RPS6KA2	1028	2379	1691	1464	577	310
ING3	90	284	215	181	290	161
VASH1	11669	10166	9129	4248	3849	3362
LMCD1	1910	2289	3980	4280	2595	971
BUD23	1365	1828	2499	2682	2066	805
SEL1L	256	2223	1381	1127	1251	1333
TRIP13	25	83	114	90	76	94
ATP6AP1	1591	6708	5457	5152	3175	1805
TCF3	1357	3052	2644	1974	1684	1192
TRIB2	1030	6101	8449	5146	4102	3122
DAZAP1	3239	5071	6104	5973	3526	1987
MBD3	8156	9295	12866	8172	5842	2673
HLTF	308	1152	787	640	608	666
FAM50A	5118	5060	6742	5684	4110	1549
FAM3A	902	1826	1986	2111	1570	612
CPSF1	962	4740	5320	2819	2348	2181
CYBRD1	28	25	273	84	60	90
CDH19	0	20	13	59	0	6
PDCD2	471	550	877	740	849	495
SLC6A15	0	0	0	6	0	0
RDH11	2715	4816	3991	3274	2817	1118
PRKACA	1488	4450	5471	2216	2855	1831
ADGRL1	2346	2589	2675	1815	1313	947
ACTN1	993	2852	4325	3715	2488	1652
ZFYVE26	294	837	890	936	702	536
RPS6KA6	147	130	149	80	84	56
EPN2	251	977	810	907	448	378
PTPN18	997	1541	1463	956	1053	427
LIMS2	2222	1912	1222	456	1004	385
ASIC4	5	8	0	3	0	8
SPEG	114	70	60	26	84	38
LNX1	31	76	54	109	38	20
ALDH3A2	2510	5661	4807	7044	8741	3184
TFRC	563	5952	1496	2824	1919	2360
SREBF1	2054	8680	7019	7191	2952	1875
TRPC5	0	0	0	0	4	0
AFF4	1540	8635	3878	4909	3915	4034
UBE2D1	70	372	341	394	332	346
MPP5	140	421	390	695	407	370
RHOBTB1	239	858	1215	1638	833	795
SMC1A	840	1501	1995	1579	1411	1214
HSD17B10	1789	2046	3150	5648	4785	1431
MARK2	358	1885	1288	1358	1129	669
HMMR	24	30	9	4	66	49
CHFR	1125	1830	1967	1539	1378	722
TRHDE	0	2	0	3	2	8
P4HA2	469	6180	3649	2521	2761	1686
FCGR2B	0	7	7	0	32	16
NFATC3	232	514	1385	478	1195	612
TRNT1	77	227	275	279	342	319
ACADVL	4726	15574	13355	11920	8270	3723
STK10	384	1727	975	1415	1669	640
FBXW11	521	2361	2263	1775	1623	1426
ACAP1	91	121	121	112	214	39
CRMP1	226	371	475	557	132	111
EVC	181	1294	1136	1954	578	402
DERL2	201	820	687	848	997	557
SIDT1	4	5	0	16	18	4
NDE1	107	350	625	491	232	144
MRVI1	13	33	32	31	89	37
TMEM38A	92	142	165	149	44	58
AP1M1	784	3468	2306	3272	1319	1368
PVR	1095	815	1052	887	544	523
XRCC1	695	1035	1482	1237	1197	616
SCARB1	14572	259892	63369	69831	35266	10452
CYP2W1	166	90	47	48	47	33
MCM2	160	348	284	276	252	201
MOV10L1	13	9	66	32	33	7
PANX2	82	250	132	107	126	54
SELENOO	1487	1834	1607	1720	1088	448
ALPK1	105	547	530	731	630	401
LLGL2	246	228	225	153	406	129
PDE8A	473	2941	1599	2638	1100	1060
CLCN4	14	164	57	137	172	30
NLE1	125	358	461	479	307	181
SDHA	844	2833	3067	2757	2527	942
SMARCE1	1464	2362	3113	2249	2595	1417
FNDC8	0	0	0	0	1	3
GSDMB	193	105	127	137	94	41
KDM5A	6673	2817	3899	3133	2433	1909
ADAM11	53	78	54	38	29	43
PPP2R3A	68	434	308	261	158	186
FERMT2	935	2509	2111	2099	2258	2082
ABCB11	11	8	6	4	20	0
DHRS9	396	306	804	1814	2675	319
PTGS2	164	8935	2192	9351	3271	925
IGF2BP2	1442	2553	3316	3635	1590	1897
MAP3K13	3974	3062	2191	2185	3291	1908
ST6GAL1	25	17	26	41	124	53
TBX21	0	2	4	12	32	0
VDAC1P1	4	25	44	28	12	18
FRY	22	48	28	63	107	33
PICALM	747	1809	1948	2156	1368	1492
NSF	262	1293	991	1200	1189	712
GLI2	0	86	40	126	43	23
CLASP1	662	2284	1759	1927	1530	1282
MRPS34	1426	1517	2219	3429	2833	780
NOTCH3	244	862	979	388	406	507
CLNS1A	790	1115	1536	1517	1451	799
TEAD2	504	152	310	533	547	332
EED	41	158	200	149	174	139
CDHR2	7	21	5	8	10	5
SNCB	21	271	13	5	20	3
TSG101	644	1158	1402	1614	1924	930
NCBP3	615	1234	1262	969	1098	640
ATP2A3	815	2992	876	183	526	200
CA12	54	548	195	902	132	98
MGLL	7	28	55	30	94	8
NTN4	74	385	451	287	469	274
BCS1L	243	322	454	651	416	244
NUAK1	161	234	256	221	203	119
DPP8	201	607	588	495	466	559
SLC24A1	319	260	146	222	148	104
ZNF532	212	1413	679	967	570	498
SCARF1	16	90	45	42	57	19
LMAN1	419	4988	2520	2662	2630	2457
HACD3	528	2351	2424	716	2074	472
IPCEF1	29	8	58	48	35	40
ZZEF1	976	3417	2815	2570	1856	1346
ENO1	58683	164043	135281	166429	146999	51046
MYDGF	1854	6451	7219	6095	4145	2033
ANO8	558	2722	2032	1466	1480	1277
TUBE1	28	131	102	153	92	101
ARHGEF10L	73	434	261	123	223	54
TXK	0	16	5	4	10	0
TACR2	20	63	34	49	20	32
ACTR6	38	136	148	145	144	141
TIPIN	48	75	103	98	70	53
SRI	730	1222	1946	2415	1703	1036
EIF4G3	506	4412	2689	3457	2583	1771
NUP37	54	195	274	393	241	165
SEMA3A	3612	23879	19477	11273	20827	13773
GTSE1	87	72	39	27	52	111
SEMA3C	54	819	527	607	365	556
TTC38	427	1124	1337	1642	947	635
ACAT1	407	734	1045	1765	1290	582
GRAMD4	232	666	1082	493	398	437
CELSR1	142	123	132	26	155	75
WNT8B	0	3	0	0	0	0
ZNF638	1158	3609	3695	2476	2542	1773
SLC25A40	22	113	40	49	101	91
TIMM21	105	628	437	532	346	261
ADD2	0	4	4	0	10	0
RASAL2	332	1334	874	3404	1054	878
VPS9D1	1699	2748	2835	1952	1619	923
ZNF37A	197	1275	916	862	785	893
MARK3	1851	2238	3146	2664	2100	1270
SLC25A3	6208	15127	13958	16087	14418	6142
FNDC3B	754	3495	2939	2236	1469	2019
FOSL2	3231	49820	25766	29168	20579	12308
CACNG4	48	11	88	17	26	29
FRYL	754	2241	1714	1535	2027	1490
TMEM131	421	3589	2621	3481	2400	1437
FSCN1	9457	20591	17542	4695	14114	7616
ACTB	106450	178301	207698	166025	133930	89121
MOCOS	388	2147	1206	2223	985	484
PLD1	344	1068	444	661	684	373
ATP12A	0	4	7	6	3	0
WDR62	58	148	109	64	65	73
DLG1	198	750	508	477	472	427
RAB7A	4234	11083	9390	10690	6462	3499
BCAP29	133	273	339	365	347	256
SEC31B	129	426	214	205	183	98
SART3	410	1939	1837	1185	1195	810
ARHGAP15	0	0	3	3	58	0
TUBA3D	71	146	127	303	60	35
EXOSC7	583	692	1102	1232	1246	447
KIFAP3	470	1695	2256	2332	2192	1562
MKRN2	358	1068	1087	829	937	657
MCM6	947	2756	2388	1697	3018	1330
REXO2	259	637	822	995	940	460
RBM7	93	298	362	462	300	342
RBMS2	202	558	581	498	192	245
BAZ2A	3549	4254	4159	3616	2049	1950
PTPN23	743	2216	2047	2000	1249	947
MLH1	268	734	693	785	867	466
UNG	70	401	313	388	247	233
FMO4	17	63	60	99	67	62
KLHL20	91	331	256	260	249	213
RGS11	267	217	347	87	88	78
SLC46A1	193	1361	686	355	346	231
PLXNA2	2	48	41	28	31	6
SPAG5	298	685	180	141	253	161
ANKRD13A	597	1178	1394	2286	1370	967
TPD52	72	338	207	165	139	129
ACACB	129	543	163	223	132	175
TRAF4	151	442	554	952	483	183
PAG1	76	294	296	306	357	248
GPATCH1	305	314	491	284	366	201
ICAM3	128	207	195	421	528	164
NT5C2	216	1301	888	962	863	705
AP002956.1	2779	7303	8498	1740	4256	2787
GPC4	370	2582	2846	1101	1721	1018
MBNL3	446	1063	757	1533	1464	259
CAMSAP3	482	433	821	251	784	416
RAP1GAP	128	293	269	134	110	90
XAB2	2202	2958	3831	2083	2027	1241
ARHGEF1	1436	3331	3962	2914	2348	1352
STXBP2	3549	4888	4524	4266	3536	1571
MAP2K7	460	758	579	551	395	434
NMRK2	15	20	3	2	0	0
DGKD	1195	3167	3789	2295	1958	1537
CTTNBP2	4	63	36	22	18	28
RARB	6	5	5	13	4	0
TOP2B	1516	3787	4530	3559	4234	2791
TM9SF3	168	2553	2329	2180	1312	1908
NFKB2	1536	2843	3327	1910	1901	1081
UBE2T	28	46	50	21	87	45
PPP1R12B	107	556	311	397	461	281
DNAJC10	200	1421	1278	1240	1263	969
GTF3C1	1488	5303	5513	4132	2848	2197
IL4R	1424	3800	370	466	593	156
USP33	248	1025	598	728	398	775
PAK3	67	85	139	29	132	128
DCX	0	0	0	0	0	2
SNRPA	936	1220	1755	2180	1131	471
SPAG6	0	26	23	20	10	20
EXOSC5	385	620	645	850	630	285
DYNC1I2	5010	2390	4262	4318	4851	1550
APBB1IP	15	7	20	35	302	46
LRCH4	848	1503	1309	1187	1177	659
FAM76B	62	404	291	265	179	310
SIRT6	625	724	1288	1019	611	417
POLD3	112	109	165	203	199	142
ACTN2	1020	3862	1108	4354	837	383
CAPZB	4003	9509	11693	10547	7507	3637
GPR137B	28	241	158	156	178	114
NAALAD2	0	29	8	25	16	14
JADE1	2303	2885	4128	2919	2524	1841
SLC25A43	200	255	120	359	300	384
UBE2A	252	949	1002	1118	867	471
FGFR1	234	511	699	609	251	307
FKBP6	0	24	0	10	12	9
FBLN1	205	165	501	508	456	215
ITGA8	0	0	5	0	0	0
CST7	0	0	2	43	236	8
MAP2	337	947	607	804	850	915
PIAS2	269	415	474	401	310	313
AMPH	0	9	10	12	4	13
ARAF	2700	4492	4407	3987	3394	1633
MCCC1	260	605	675	930	614	403
LAMP3	9	0	2	4	0	0
FAP	0	5	7	6	0	9
NEBL	1785	5632	3105	3426	4926	1107
ACER3	437	357	64	242	69	51
UBE2K	529	1245	1400	1494	759	898
PIK3C3	327	1532	785	1162	1326	690
N4BP2	229	387	373	189	263	393
TIGAR	301	380	721	542	551	450
TULP3	377	804	609	380	626	481
SYNJ2	648	4385	2272	3376	1827	1656
ADCY2	18	123	139	28	110	129
PPP2R5C	487	991	1146	947	1130	849
PMS2P1	130	194	261	271	170	94
RBFOX1	56	507	352	1124	169	105
GNB1	7026	16594	16933	15875	11211	7108
HOXA9	0	0	0	3	0	0
EDN1	15	8	22	2	12	0
MLLT10	185	932	723	989	466	430
ZCWPW1	205	105	125	158	114	38
ADCYAP1R1	14	8	41	2	0	5
P2RY10	0	0	0	6	7	2
ITM2A	45	248	597	729	978	42
NRDC	2664	6034	5328	5658	5086	2481
VDAC3	1680	3305	3415	3190	3208	1427
PCM1	837	1913	1622	1911	1907	1303
TNRC6C	1029	538	624	583	340	230
CBFA2T2	398	454	379	309	251	182
BRINP1	0	9	0	0	0	0
ITCH	239	1081	984	1156	767	754
PKD2L2	0	0	0	2	0	0
TP53INP2	8844	9716	6524	4747	5150	2316
SDF4	4763	13685	13507	7489	8580	3016
MYH7B	74	116	52	36	41	33
TP73	0	2	10	0	10	0
TOLLIP	1063	2844	1383	1845	1486	867
UBE2D4	177	559	736	146	541	134
CLUL1	0	3	6	14	0	6
RUNX1T1	0	6	0	4	0	0
CDH17	0	0	4	0	0	3
THOC1	382	637	808	664	586	316
FKBP7	9	145	200	167	162	160
OSBPL6	193	2668	359	520	317	47
SLC1A3	13	37	120	30	272	78
XRCC5	2744	6056	7641	7346	8240	4311
LXN	169	1123	550	241	1303	472
SP140	3	11	20	32	66	15
MKNK1	373	812	610	854	889	313
TNS1	3072	12822	5415	5024	2819	2514
REXO1	2320	7168	4704	4732	3057	1952
SAR1A	450	3437	1542	2610	1487	591
CDC14A	0	69	24	45	32	51
RAPGEF3	35	42	28	40	19	17
CEACAM1	11	65	94	65	195	100
SENP1	115	217	250	304	258	243
CIC	1640	12401	7191	7107	5602	4327
LIPE	1702	6684	4389	2176	2794	828
FDFT1	3692	9827	6102	4291	7689	2254
PAFAH1B3	226	393	580	625	513	254
OPHN1	43	400	325	205	154	170
KIF22	461	324	399	289	352	229
SCGN	8	23	20	35	53	16
CARMIL1	1600	3357	6552	3279	3686	3403
PGM1	1720	7376	5967	4556	5091	2527
DDX1	802	1962	2353	3346	3122	1540
DNM2	1563	5266	4751	5471	3864	2665
